,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2
1750,36330308.512233905,24211079.490671653,13719849.490671653,13719849.490671653,0
1751,32982959.21367077,21397404.42251152,10906174.422511522,10906174.422511522,0
1752,32900800.847923677,21785431.518652428,11294201.518652428,11294201.518652428,0
1753,32662783.229509335,21576376.276560083,11085146.276560083,11085146.276560083,0
1754,32048407.803297702,20804497.772201452,10313267.772201452,10313267.772201452,0
1755,31523440.01039906,20170794.65942681,9679564.659426808,9679564.659426808,0
1756,31241926.78658921,19992355.908109456,9501125.908109456,9501125.908109456,0
1757,32889322.84094432,21672185.295885473,11180955.295885473,11180955.295885473,0
1758,37636988.9909908,26363772.02234128,15872542.022341281,15872542.022341281,0
1759,44072526.27263546,32268695.203437593,21777465.203437593,21777465.203437593,0
1760,46939007.489325956,34489688.615577415,23998458.615577415,23998458.615577415,0
1761,48428731.97412233,35698604.03100568,25207374.03100568,25207374.03100568,0
1762,49173594.21652051,36834007.5664412,26342777.5664412,26342777.5664412,0
1763,49727559.07968284,37044632.261890456,26553402.261890456,26553402.261890456,0
1764,49702186.64320212,37861810.67965106,27370580.67965106,27370580.67965106,0
1765,49178427.06156446,38038343.032407805,27547113.032407805,27547113.032407805,0
1766,48938597.12625863,38045067.35491188,27553837.35491188,27553837.35491188,0
1767,48995987.161155485,38370209.37717756,27878979.37717756,27878979.37717756,0
1768,49784949.11457969,39595017.127946556,29103787.127946556,29103787.127946556,0
1769,50802262.99633032,43238016.329198726,32746786.329198726,32746786.329198726,0
1770,52696738.25355718,40652226.39404839,30160996.394048393,30160996.394048393,0
1771,51990538.771510564,39676485.525459446,29185255.525459446,29185255.525459446,0
1772,49185072.22349988,37056543.846062884,26565313.846062884,26565313.846062884,0
1773,44494796.10835025,32533174.102973748,22041944.102973748,22041944.102973748,0
1774,39022203.20171184,27405968.459417842,16914738.459417842,16914738.459417842,0
1775,34488390.44485996,23358969.266629457,12867739.266629457,12867739.266629457,0
1776,34734865.54210121,24308339.38944621,13817109.38944621,13817109.38944621,0
1777,34736677.85899269,24436533.989527687,13945303.989527687,13945303.989527687,0
1778,33586460.73853353,23431401.17170828,12940171.171708278,12940171.171708278,0
1779,32737692.327690504,22531607.323977005,12040377.323977005,12040377.323977005,0
1780,32219973.802357785,21817425.930352535,11326195.930352535,11326195.930352535,0
1781,33703657.23084922,23220900.16339222,12729670.16339222,12729670.16339222,0
1782,38252572.62846343,27481136.96831797,16989906.96831797,16989906.96831797,0
1783,44805306.40242378,32779924.03426716,22288694.03426716,22288694.03426716,0
1784,47887453.32920038,34466495.17477378,23975265.174773782,23975265.174773782,0
1785,49347576.63810257,35500830.70865301,25009600.70865301,25009600.70865301,0
1786,49385031.187193155,35078039.17976352,24586809.17976352,24586809.17976352,0
1787,49147617.67440929,34549568.20492883,24058338.20492883,24058338.20492883,0
1788,49014110.33007028,38809467.06646292,28318237.06646292,28318237.06646292,0
1789,47887453.32920038,33367138.58332769,22875908.58332769,22875908.58332769,0
1790,47016333.010029085,33045506.785988316,22554276.785988316,22554276.785988316,0
1791,46544526.512613855,33399880.6563812,22908650.6563812,22908650.6563812,0
1792,46243681.90862823,34676079.74695517,24184849.74695517,24184849.74695517,0
1793,46989752.362287395,36134978.225413725,25643748.225413725,25643748.225413725,0
1794,49620632.383085534,37256261.44520217,26765031.44520217,26765031.44520217,0
1795,49002632.32309091,35496989.57658647,25005759.57658647,25005759.57658647,0
1796,45710256.63690267,32337643.010511667,21846413.010511667,21846413.010511667,0
1797,41459165.315121636,27916362.557936136,17425132.557936136,17425132.557936136,0
1798,37177264.60618545,23356926.684223954,12865696.684223954,12865696.684223954,0
1799,33361129.338359542,19599688.874225043,9108458.874225043,9108458.874225043,0
1800,33440267.17595417,19599837.15819592,9108607.15819592,9108607.15819592,0
1801,33718759.87161155,19424116.44665755,8932886.44665755,8932886.44665755,0
1802,32522026.617604416,18284492.713656165,7793262.713656165,7793262.713656165,0
1803,31830325.670689635,17238349.228364136,6747119.228364136,6747119.228364136,0
1804,31090900.378965896,16409671.349271644,5918441.349271644,5918441.349271644,0
1805,31351874.011338975,16673794.828330263,6182564.8283302635,6182564.8283302635,0
1806,32604789.08898199,17537236.34171305,7046006.3417130485,7046006.3417130485,0
